,0
0,-'
1,Incident
2,Incident
3,Loss
4,Primary
5,Containment
6,Acid
7,Drying
8,Tower
9,Incident
10,Process
11,safety
12,tier
13,incident
14,Additional
15,provided
16,once
17,available
18,incident
19,"Thursday,"
20,Critical
21,Exposure
22,Hazardous
23,Substances
24,Product
25,Copper
26,diamonds
27,Meikel
28,Operation/site:
29,Smelter
30,During
31,filling
32,Drying
33,Tower
34,pre
35,start
36,-up
37,"preparation,"
38,pump
39,boot
40,filled
41,causing
42,approximately
43,gallons
44,strong
45,sulphuric
46,acid
47,enter
48,secondary
49,containment
50,through
51,overflow
52,line.
53,acid
54,contained
55,secondary
56,containment;
57,there
58,employees
59,contractors
60,containment
61,incident.
62,threshold
63,quantity
64,strong
65,acid
66,release
67,outdoors
68,"4,400"
69,Overflow
70,line
71,sump
72,Final
73,HSEC
74,Incident
75,Alert
76,Growth
77,Innovation
78,distributed
79,incident
80,occurrence
81,DISPLAY
82,BOARDS
83,DAYS
84,AFTER
85,INCIDENT
86,Incident:
87,Dropped
88,caste
89,r
90,wheel
91,mobile
92,stair
93,platfor
94,m
95,Final
96,Classification:
97,Potential
98,Fatal
99,Incident
100,(PFI)
101,Operation
102,Project:
103,Underground
104,Project
105,Location
106,Region
107,Central
108,Heating
109,Plant
110,Expansion
111,8
112,Growth
113,Innovation
114,Critical
115,Control:
116,Securing
117,Devices
118,"Aitchison,"
119,relocating
120,mobile
121,stair
122,platform
123,caster
124,wheel
125,dislodged
126,leg
127,fell
128,approximately
129,7m
130,ground
131,leve
132,l.
133,wheel
134,grazed
135,arm
136,worker
137,ground
138,level
139,cause
140,injury
141,incident
142,caused
143,critical
144,control
145,failure
146,ensure
147,securing
148,devices
149,place
150,equipment
151,"heights,"
152,rel
153,ating
154,critical
155,risk
156,falling
157,objects.
158,Investigation
159,findings
160,Mobile
161,stair
162,platform
163,wheels
164,securing
165,pins
166,locked
167,place
168,platform
169,risk
170,assessed
171,approved
172,use
173,accord
174,ance
175,procedures
176,eq
177,uipment.
178,upervisor
179,gave
180,work
181,instructions
182,exposed
183,workers
184,potential
185,injury
186,themselves
187,others.
188,Critical
189,Ensure
190,your
191,site
192,processes
193,review
194,approve
195,tools
196,equipment
197,entering
198,site
199,robust.
200,Continually
201,verif
202,y
203,equipm
204,ent
205,heights
206,adequate
207,securing
208,devices
209,(fixed
210,mobile).
211,Check
212,risk
213,asses
214,sment
215,verify
216,controls
217,t
218,ools
219,equipment
220,regular
221,basis.
222,DISPLAY
223,BOARDS
224,DAYS
225,AFTER
226,POSTING
227,99
228,052846
229,Final
230,HSEC
231,Incident
232,Alert
233,Growth
234,Innovation
235,distributed
236,incident
237,occurrence
238,DISPLAY
239,BOARDS
240,DAYS
241,AFTER
242,INCIDENT
243,Incident:
244,Mixer
245,t
246,ruck
247,drum
248,entry
249,procedure
250,breach
251,Final
252,Classification:
253,Significant
254,Incident
255,Operation
256,Project:
257,Underground
258,Project
259,Location
260,Region
261,Batch
262,Plant
263,21
264,Growth
265,Innovation
266,Critical
267,Control:
268,"Aitchison,"
269,An
270,operator
271,entered
272,concrete
273,truck
274,mixer
275,drum
276,clean
277,out
278,concrete
279,scal
280,e.
281,operator
282,obtain
283,proper
284,permits
285,isolate
286,prior
287,entry
288,opearator
289,possession
290,keys.
291,Investigation
292,findings
293,People
294,Operator
295,heard
296,noise
297,drum
298,wanted
299,ensure
300,drum
301,clear
302,so
303,decided
304,quickly
305,inspect
306,clean
307,mixer
308,drum.
309,Equipment
310,Current
311,practice
312,manually
313,descale
314,mixer
315,drums
316,(under
317,acess
318,permit
319,isolation)
320,Environment
321,Permenant
322,washout
323,area
324,commissioned.
325,Procedures
326,scheduled
327,maintenance
328,program
329,place
330,descaling.
331,Critical
332,Consider
333,alternate
334,descaling
335,methods
336,(Not
337,manual)
338,Ensure
339,adequate
340,washout
341,facilities
342,concrete
343,mixers
344,Ensure
345,scheduled
346,maintenance
347,program
348,place
349,descaling
350,735
351,Final
352,HSEC
353,Incident
354,Alert
355,Growth
356,Innovation
357,distributed
358,incident
359,occurrence
360,DISPLAY
361,BOARDS
362,DAYS
363,AFTER
364,INCIDENT
365,Incident:
366,Non
367,energized
368,cable
369,fell
370,roof
371,conveyor
372,decline
373,Final
374,Classification:
375,Significant
376,Incident
377,Operation
378,Project:
379,Underground
380,Project
381,Location
382,Region
383,C2S
384,"Decline,"
385,Conveyor
386,Decline
387,Growth
388,Innovation
389,Critical
390,Control:
391,Securing
392,devices
393,Gregory
394,"Garnett,"
395,9990
396,4785
397,section
398,electrical
399,cable
400,(non
401,energised)
402,discovered
403,laying
404,"ground,"
405,fallen
406,room
407,decline
408,Crosscuts
409,Investigation
410,findings
411,Actions
412,design
413,standard
414,installation
415,temporary
416,services
417,resulting
418,than
419,adequate
420,method
421,anchor
422,join
423,cables;
424,Engineering
425,Action
426,Define
427,standards
428,installation
429,temporary
430,services
431,underground.
432,cable
433,hung
434,vent
435,support
436,(catenary
437,wire)
438,which
439,fit
440,purpose;
441,istrative
442,ction
443,Update
444,underground
445,services
446,SWP
447,include
448,recovery
449,redundant
450,services
451,support
452,structures.
453,Critical
454,learning
455,Ensure
456,robust
457,design
458,standards
459,place
460,temporary
461,installations.
462,Preliminary
463,HSEC
464,Incident
465,Alert
466,Growth
467,Innovation
468,distributed
469,incident
470,occurrence
471,DISPLAY
472,BOARDS
473,DAYS
474,AFTER
475,INCIDENT
476,Incident:
477,Non
478,energized
479,cable
480,fell
481,roof
482,conveyor
483,decline
484,Preliminary
485,Classification:
486,Significant
487,Incident
488,Operation
489,Project
490,Underground
491,Project
492,Location
493,Region
494,C2S
495,"Decline,"
496,Conveyor
497,Decline
498,Growth
499,Innovation
500,Critical
501,Control
502,Securing
503,devices
504,Gregory
505,Garnett
506,99904785
507,approximately
508,electricians
509,making
510,there
511,way
512,down
513,conveyor
514,decline
515,fou
516,nd
517,cable
518,(non
519,energised)
520,fallen
521,floor
522,Crosscut
523,6
524,down
525,Crosscut
526,8.
527,They
528,notified
529,supervisor
530,barricaded
531,area.
532,findings
533,identified
534,failure
535,cable
536,hanger
537,"hooks,"
538,messenger
539,line
540,cable
541,installation
542,process
543,potentia
544,l
545,causes
546,cable
547,fall
548,floor.
549,Immediate
550,actions:
551,Stopped
552,underground
553,operations
554,safe.
555,Carried
556,out
557,survey
558,UG
559,services
560,identify
561,other
562,potential
563,hazards.
564,Final
565,HSEC
566,Incident
567,Alert
568,Growth
569,Innovation
570,distributed
571,incident
572,occurrence
573,DISPLAY
574,BOARDS
575,DAYS
576,AFTER
577,INCIDENT
578,Incident:
579,Employee
580,struck
581,poly
582,pipe
583,Final
584,Classification:
585,Medical
586,Treatment
587,Injury
588,(MTI)
589,Operation
590,Project:
591,Underground
592,Project
593,Location
594,Region
595,Underground
596,Shaft#1
597,15
598,Growth
599,Innovation
600,Critical
601,Control:
602,service
603,crew
604,working
605,poly
606,pipe.
607,lengths
608,pipe
609,approximately
610,length
611,installed
612,along
613,length
614,drive.
615,crew
616,tasked
617,tying
618,length
619,pipe
620,tee
621,piece
622,previously
623,installed.
624,members
625,service
626,crew
627,working
628,man
629,basket
630,JCB
631,IT
632,attempting
633,connect
634,pipe
635,tee
636,piece.
637,employee
638,positioned
639,e
640,downward
641,side
642,pipe
643,tee
644,piece
645,attempted
646,push
647,pipe
648,upwards
649,toward
650,tee
651,piece.
652,"point,"
653,employee
654,lost
655,control
656,"pipe,"
657,which
658,recoiled
659,nd
660,struck
661,employee
662,face
663,resulting
664,damage
665,their
666,teeth
667,laceraton
668,upper
669,lip
670,requiring
671,sutures.
672,Investigation
673,findings
674,essential
675,contributing
676,People:
677,injured
678,person
679,failed
680,recognize
681,hazard
682,stored
683,energy
684,placing
685,yourself
686,line
687,fire.
688,Environment:
689,Work
690,area
691,congested
692,adequately
693,fit
694,purpose.
695,Equipment:
696,Failure
697,use
698,protective
699,devices
700,secure
701,pipes.
702,Rec
703,omended
704,actions:
705,Never
706,place
707,yourself
708,Line
709,Fire
710,(LoF)
711,Review
712,Improve
713,procedures
714,identify
715,best
716,practice
717,control
718,risk
719,LoF
720,Coaching
721,wo
722,rk
723,team
724,"procedures,"
725,hazard
726,assessment
727,"controls,"
728,re
729,sponsibility
730,accountability;
731,Supervisor
732,ensure
733,task
734,based
735,risks
736,identified
737,team
738,prior
739,task
740,ensure
741,controls
742,place.
743,Preliminary
744,HSEC
745,Incident
746,Alert
747,Growth
748,Innovation
749,distributed
750,incident
751,occurrence
752,DISPLAY
753,BOARDS
754,DAYS
755,AFTER
756,INCIDENT
757,Incident:
758,Employee
759,struck
760,poly
761,pipe
762,Preliminary
763,Classification:
764,confirmed
765,Operation
766,Project
767,Location
768,Region
769,Underground
770,Shaft
771,15
772,Growth
773,Innovation
774,Critical
775,Control
776,service
777,crew
778,working
779,100mm
780,poly
781,pipe
782,CR01
783,RM04
784,AD01
785,intersection.
786,lengths
787,100mm
788,pipe
789,approximately
790,length
791,installed
792,along
793,length
794,AD01.The
795,crew
796,tasked
797,tying
798,o
799,ne
800,length
801,pipe
802,t
803,o
804,tee
805,piece
806,previously
807,installed.
808,members
809,service
810,crew
811,working
812,man
813,basket
814,JCB
815,attempting
816,connect
817,lateral
818,pipe
819,tee
820,p
821,iece.
822,employee
823,positioned
824,downhill
825,side
826,pipe
827,tee
828,piece
829,ttempted
830,push
831,pipe
832,upwards
833,toward
834,tee
835,piece.
836,"point,"
837,employee
838,lost
839,control
840,"pipe,"
841,which
842,recoiled
843,struck
844,employee
845,face
846,resulting
847,damage
848,teeth
849,laceraton
850,upper
851,lip
852,requiring
853,sutures.
854,Preliminary
855,causes:
856,People:
857,People:
858,Failed
859,recognize
860,hazard
861,stored
862,energy
863,placing
864,yourself
865,Line
866,fire.
867,Environment:
868,elevated
869,work
870,deck
871,employees
872,working
873,upon
874,congested
875,vent
876,bag
877,pipes
878,running
879,perpendicular
